acdAcidicPka,acdBasicPka,acdLogd,acdLogp,alogp,chemblId,knownDrug,molecularFormula,molecularWeight,numRo5Violations,passesRuleOfThree,preferredCompoundName,rotatableBonds,smiles,species,stdInChiKey,synonyms,activity_comment,assay_chemblid,assay_description,assay_type,bioactivity_type,name_in_reference,operator,organism,parent_cmpd_chemblid,reference,target_chemblid,target_confidence,target_name,units,value,STATUS,SMILES_desalt
8.47,,4.25,4.3,4.12,CHEMBL184448,No,C14H9ClO3,260.67,0.0,No,,1.0,Oc1ccc(cc1)c2oc3c(Cl)cc(O)cc3c2,NEUTRAL,OCILFYQUCSGLEE-UHFFFAOYSA-N,,Unspecified,CHEMBL832786,Binding affinity for human Estrogen receptor alpha,B,IC50,14,=,Homo sapiens,CHEMBL184448,"Bioorg. Med. Chem. Lett., (2004) 14:19:4925",CHEMBL206,9,Estrogen receptor alpha,nM,6.8,active,Oc1ccc(-c2cc3cc(O)cc(Cl)c3o2)cc1
7.16,,1.98,2.51,2.76,CHEMBL45068,No,C15H14O5,274.27,0.0,No,PHLORETIN,4.0,Oc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1,NEUTRAL,VGEREEWJJVICBM-UHFFFAOYSA-N,"Phloretin,2',4,4',6'-Tetrahydroxydihydrochalcone,2',4,4',6'-Tetrahydroxy-Dihydrochalcone",Unspecified,CHEMBL3095120,Binding affinity to human estrogen receptor assessed as decrease in estradiol-dependent beta-galactosidase activity,B,IC50,Phloretin,=,Homo sapiens,CHEMBL45068,"Bioorg. Med. Chem. Lett., (2013) 23:24:6923",CHEMBL206,9,Estrogen receptor alpha,nM,300.0,active,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
10.06,7.06,4.89,5.14,6.8,CHEMBL434502,No,C30H37ClN8OS,593.19,2.0,No,,12.0,CN(CCCc1ccc(Cl)cc1)c2nc(NCCc3ccc(O)cc3)nc(n2)N4CCN(Cc5csc(C)n5)CC4,NEUTRAL,PVIFHDOPIPOZGE-UHFFFAOYSA-N,,Unspecified,CHEMBL679892,In vitro inhibition of transcriptional activation induced by 1 nM 17-beta estradiol in T47D cells expressing estrogen receptor alpha,B,IC50,43,=,Homo sapiens,CHEMBL434502,"J. Med. Chem., (2002) 45:25:5492",CHEMBL206,9,Estrogen receptor alpha,nM,150.0,active,Cc1nc(CN2CCN(c3nc(NCCc4ccc(O)cc4)nc(N(C)CCCc4ccc(Cl)cc4)n3)CC2)cs1
9.25,,7.54,7.54,7.64,CHEMBL1628199,No,C34H53NO4S,571.85,2.0,No,,15.0,CCCCN(C)C(=O)CCCCCCCCCCS[C@H]1[C@@H]2[C@H](CC[C@]3(C)[C@@H](O)CC[C@@H]23)c4ccc(O)cc4C1=O,NEUTRAL,QGAMWWULGQRYLA-XBYJKWJISA-N,,Unspecified,CHEMBL679325,Displacement of [3H]17-beta-estradiol from human Estrogen receptor alpha,B,IC50,17,=,Homo sapiens,CHEMBL1628199,"Bioorg. Med. Chem. Lett., (2000) 10:2:147",CHEMBL206,9,Estrogen receptor alpha,nM,33.0,active,CCCCN(C)C(=O)CCCCCCCCCCSC1C(=O)c2cc(O)ccc2C2CCC3(C)C(O)CCC3C12
9.25,9.51,4.61,6.68,6.8,CHEMBL123025,No,C26H26BrNO3S2,544.52,2.0,No,,6.0,Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3S[C@H]2c4ccc(OCCN5CCCC5)c(Br)c4,BASE,CXMOUKNCAVXSOQ-FTJBHMTQSA-N,,Unspecified,CHEMBL677478,Binding affinity for human estrogen receptor alpha,B,IC50,3,=,Homo sapiens,CHEMBL123025,"Bioorg. Med. Chem. Lett., (2004) 14:14:3753",CHEMBL206,9,Estrogen receptor alpha,nM,4.0,active,Oc1ccc(C2Sc3cc(O)ccc3SC2c2ccc(OCCN3CCCC3)c(Br)c2)cc1
10.15,,6.14,6.14,5.72,CHEMBL153062,No,C15H24O,220.35,1.0,No,4-NONYLPHENOL,8.0,CCCCCCCCCc1ccc(O)cc1,NEUTRAL,IGFHQQFPSIBGKE-UHFFFAOYSA-N,"Nonylphenol,4-Nonylphenol,4-Nonyl-Phenol",Unspecified,CHEMBL1909145,DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol),B,IC50,4-NONYLPHENOL,=,Homo sapiens,CHEMBL153062,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,377.0,active,CCCCCCCCCc1ccc(O)cc1
13.88,,3.97,3.97,2.14,CHEMBL1468708,No,C12H11NO2S2,265.35,0.0,No,,3.0,O=C(NCc1occc1)c2cc3CSCc3s2,NEUTRAL,JJKLUPLZOHTREM-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID4243421,=,Homo sapiens,CHEMBL1468708,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,9413.4,intermediate,O=C(NCc1ccco1)c1cc2c(s1)CSC2
11.38,,2.19,2.19,2.47,CHEMBL1442416,No,C16H18N2O3S,318.39,0.0,No,,6.0,Cc1ccccc1CSCC(=O)NC(=O)NCc2occc2,NEUTRAL,HYQCERHNBBDTSY-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID3711352,=,Homo sapiens,CHEMBL1442416,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,9266.32,intermediate,Cc1ccccc1CSCC(=O)NC(=O)NCc1ccco1
8.02,,4.36,4.37,2.98,CHEMBL1388271,No,C19H18N4O3S2,414.5,0.0,No,,5.0,CCSc1nnc(NC(=O)C2Cc3ccccc3CN2C(=O)c4occc4)s1,NEUTRAL,QBGVPYUGNGPTQZ-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID3715082,=,Homo sapiens,CHEMBL1388271,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,7467.87,intermediate,CCSc1nnc(NC(=O)C2Cc3ccccc3CN2C(=O)c2ccco2)s1
,4.71,4.5,4.5,3.94,CHEMBL1331872,No,C17H11N3OS2,337.42,0.0,No,,2.0,Cc1nc2sccn2c1c3nc(cs3)c4oc5ccccc5c4,NEUTRAL,FEINYLFUPSKGMQ-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID3715180,=,Homo sapiens,CHEMBL1331872,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,10678.49,inactive,Cc1nc2sccn2c1-c1nc(-c2cc3ccccc3o2)cs1
,2.07,6.36,6.36,5.71,CHEMBL1401227,No,C17H14Cl2N4OS,393.29,1.0,No,,4.0,CCCc1nnc2SCC(=Nn12)c3oc(cc3)c4cc(Cl)ccc4Cl,NEUTRAL,VKEOAIOUYWQJCK-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID3712209,=,Homo sapiens,CHEMBL1401227,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,13388.26,inactive,CCCc1nnc2n1N=C(c1ccc(-c3cc(Cl)ccc3Cl)o1)CS2
12.08,,4.12,4.12,2.93,CHEMBL1460126,No,C17H14N2O3S,326.37,0.0,No,,3.0,NC(=O)c1c2CCCc2sc1NC(=O)c3oc4ccccc4c3,NEUTRAL,BEDOWVBPFLCOBB-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID3715273,=,Homo sapiens,CHEMBL1460126,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,23481.56,inactive,NC(=O)c1c(NC(=O)c2cc3ccccc3o2)sc2c1CCC2
8.19,,1.56,1.64,0.72,CHEMBL1499638,No,C16H20N4O4S,364.42,0.0,No,,5.0,CCC1(C)NC(=O)N(CC(=O)Nc2sc3CCCc3c2C(=O)N)C1=O,NEUTRAL,FNFQXHMKSUJOJW-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID3712587,=,Homo sapiens,CHEMBL1499638,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,18237.0,inactive,CCC1(C)NC(=O)N(CC(=O)Nc2sc3c(c2C(N)=O)CCC3)C1=O
12.57,3.78,3.91,3.91,3.48,CHEMBL1413557,No,C20H16N2O3,332.35,0.0,No,,4.0,Cc1oc(cc1)c2cc(C(=O)NCc3occc3)c4ccccc4n2,NEUTRAL,XDJGRFVVVPCXCN-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID4242799,=,Homo sapiens,CHEMBL1413557,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,6844.46,intermediate,Cc1ccc(-c2cc(C(=O)NCc3ccco3)c3ccccc3n2)o1
12.41,1.45,4.14,4.14,3.45,CHEMBL1484998,No,C17H11ClN2O3,326.73,0.0,No,,3.0,Clc1ccc2cc3cc(oc3nc2c1)C(=O)NCc4occc4,NEUTRAL,NHKCYUAXXKYVSG-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID4246164,=,Homo sapiens,CHEMBL1484998,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,17703.91,inactive,O=C(NCc1ccco1)c1cc2cc3ccc(Cl)cc3nc2o1
11.54,1.67,4.86,4.86,4.93,CHEMBL1608989,No,C22H14N2O2S,370.42,0.0,No,,3.0,O=C(Nc1ccc2oc(nc2c1)c3ccc4ccccc4c3)c5cccs5,NEUTRAL,BMAZWNMLRZHFMK-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14746091,=,Homo sapiens,CHEMBL1608989,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,27735.78,inactive,O=C(Nc1ccc2oc(-c3ccc4ccccc4c3)nc2c1)c1cccs1
,,2.71,2.71,2.08,CHEMBL1469743,No,C15H10N2O4S,314.32,0.0,No,,1.0,O=Cc1ccc2OC3=C(C(=O)N4CCCSC4=N3)C(=O)c2c1,NEUTRAL,WGKAOZLRNKSJLH-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14741773,=,Homo sapiens,CHEMBL1469743,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,17800.63,inactive,O=Cc1ccc2oc3nc4n(c(=O)c3c(=O)c2c1)CCCS4
,6.99,3.92,4.06,3.64,CHEMBL1538325,No,C20H25BrN4OS,449.41,0.0,No,,4.0,NC(=O)C1(CCN(CC1)c2nc(cs2)c3ccc(Br)cc3)N4CCCCC4,NEUTRAL,IDFABWNHHWWLSC-UHFFFAOYSA-N,,Not Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14729775,=,Homo sapiens,CHEMBL1538325,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,37793.76,inactive,NC(=O)C1(N2CCCCC2)CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
,9.0,4.13,4.14,4.47,CHEMBL1605393,No,C24H18N4O2,394.43,0.0,No,,2.0,CCc1ccc2nc(O)c(cc2c1)C3C(=C(N)Oc4c3ccc5cccnc45)C#N,BASE,CZMDPSYGJSHWDV-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14720807,=,Homo sapiens,CHEMBL1605393,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,11260.79,inactive,CCc1ccc2nc(O)c(C3C(C#N)=C(N)Oc4c3ccc3cccnc43)cc2c1
,,3.8,3.8,2.38,CHEMBL1384049,No,C20H14N4O2,342.35,0.0,No,,1.0,CC1=CC=CN2C(=O)C3=C(N=C12)N(C(=O)C(=C3)C#N)c4ccc(C)cc4,NEUTRAL,FKLCSZODYQCFMJ-UHFFFAOYSA-N,,Not Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14734189,=,Homo sapiens,CHEMBL1384049,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,30868.34,inactive,Cc1ccc(-n2c(=O)c(C#N)cc3c(=O)n4cccc(C)c4nc32)cc1
8.3,9.75,2.78,3.07,3.8,CHEMBL188049,No,C16H13NO3,267.28,0.0,No,,3.0,Oc1ccc(cc1)c2oc3c(CC=C)cc(O)cc3n2,BASE,XQORYXRHJJULMI-UHFFFAOYSA-N,,Unspecified,CHEMBL829540,Inhibitory concentration against human ER alpha expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand,B,IC50,113,=,Homo sapiens,CHEMBL188049,"J. Med. Chem., (2004) 47:21:5021",CHEMBL206,9,Estrogen receptor alpha,nM,727.0,active,C=CCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12
,1.27,5.8,5.8,4.95,CHEMBL1361641,No,C17H13BrN4S,385.28,0.0,No,,2.0,Cc1ccc(cc1)c2nnc3SCC(=Nn23)c4ccc(Br)cc4,NEUTRAL,GPSPWPSEXWUAEZ-UHFFFAOYSA-N,,Not Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID7968773,=,Homo sapiens,CHEMBL1361641,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,42307.93,inactive,Cc1ccc(-c2nnc3n2N=C(c2ccc(Br)cc2)CS3)cc1
10.55,,1.98,1.98,2.63,CHEMBL1489063,No,C21H21N3O5S,427.47,0.0,No,,7.0,COCCCNC(=O)c1ccc2C(=O)N(Cc3ccc4OCOc4c3)C(=S)Nc2c1,NEUTRAL,YYDUTONBWPIRES-UHFFFAOYSA-N,,Not Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14734227,=,Homo sapiens,CHEMBL1489063,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,42005.2,inactive,COCCCNC(=O)c1ccc2c(=O)n(Cc3ccc4c(c3)OCO4)c(=S)[nH]c2c1
5.69,,0.05,1.58,2.99,CHEMBL1381495,No,C20H21ClNO6PS,469.88,0.0,No,,8.0,CCOP(=O)(OCC)C1(NS(=O)(=O)c2ccccc2)C=C(Cl)C(=O)c3ccccc13,ACID,MJHGCBSPSLDUBM-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14742218,=,Homo sapiens,CHEMBL1381495,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,12589.04,inactive,CCOP(=O)(OCC)C1(NS(=O)(=O)c2ccccc2)C=C(Cl)C(=O)c2ccccc21
,6.11,2.56,2.58,3.02,CHEMBL1343011,No,C18H14N2O3,306.32,0.0,No,,2.0,COc1cccc2C=C(C(=O)Oc12)c3cn4ccc(C)cc4n3,NEUTRAL,NYAOAZSYFFXXSZ-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14724728,=,Homo sapiens,CHEMBL1343011,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,7851.33,intermediate,COc1cccc2cc(-c3cn4ccc(C)cc4n3)c(=O)oc12
,2.25,2.51,2.51,3.49,CHEMBL1613068,No,C16H9BrN4O,353.17,0.0,No,,2.0,Brc1ccc(cc1)c2nnc(c3cccnc3)c4conc24,NEUTRAL,HLGBPJFTRPNCFX-UHFFFAOYSA-N,,Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14728087,=,Homo sapiens,CHEMBL1613068,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,6621.2,intermediate,Brc1ccc(-c2nnc(-c3cccnc3)c3conc23)cc1
4.5,7.34,2.61,4.84,2.34,CHEMBL1464837,No,C24H25N3O6,451.47,0.0,No,,8.0,CCOC(=O)C1=C(O)\C(=C/c2oc(CNC(=O)C(=O)Nc3ccc(C)c(C)c3)cc2)\N=C1C,ACID,MVCKVVFGSAPJGD-YBFXNURJSA-N,,Not Active,CHEMBL1614199,PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors Dose Response Confirmation. (Class of assay: confirmatory) [Related pubchem assays: 629 (Primary screen preceding this dose response confirmation assay.)],B,IC50,SID14734401,=,Homo sapiens,CHEMBL1464837,Unspecified,CHEMBL206,9,Estrogen receptor alpha,nM,40511.4,inactive,CCOC(=O)C1=C(O)C(=Cc2ccc(CNC(=O)C(=O)Nc3ccc(C)c(C)c3)o2)N=C1C
